Description,Qty,Total Amount,Group,Division,Branch
COFFEE FRAPP LARGE,77.0,19125.53,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
MOCHA FRAPP SMALL,604.0,128151.29,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
MOCHA FRAPP MEDIUM,700.0,183083.48,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
MOCHA FRAPP LARGE,120.0,34209.61,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
ESPRESSO FRAPP SMALL,369.0,65243.24,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
ESPRESSO FRAPP MEDIUM,371.0,81464.87,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
ESPRESSO FRAPP LARGE,115.0,28711.11,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
VANILLA CREAM FRAPP SMALL,540.0,119273.69,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
VANILLA CREAM FRAPP MEDIUM,421.0,107865.11,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
VANILLA CREAM FRAPP LARGE,114.0,32652.85,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
WHITE MOCHA FRAPP SMALL,65.0,11591.2,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
WHITE MOCHA FRAPP MEDIUM,94.0,24036.88,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
WHITE MOCHA FRAPP LARGE,29.0,8461.47,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
WHITE MOCHA CREAM FRAPP SMALL,54.0,10504.2,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
WHITE MOCHA CREAM FRAPP MEDIUM,45.0,11466.91,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
CHOCOLATE CREAM FRAPP MEDIUM,619.0,164881.08,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
CHOCOLATE CREAM FRAPP LARGE,114.0,32806.31,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
WHITE MOCHA CREAM FRAPP LARGE,13.0,3632.73,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
CHOCOLATE CREAM FRAP SMALL,748.0,168824.14,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
CARAMEL CREAM  FRAPP MEDIUM,560.0,149111.11,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
CARAMEL CREAM  FRAPP LARGE,87.0,26850.81,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
CARAMEL CREAM FRAPP SMALL,631.0,139497.81,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
MATCHA CREAM  FRAPP SMALL,396.0,86878.41,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
MATCHA CREAM FRAPP MEDIUM,441.0,114045.05,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
MATCHA CREAM FRAPP LARGE,139.0,39388.59,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
STRAWBERRY CREAM FRAPP SMALL,820.0,131732.64,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
STRAWBERRY CREAM FRAPP MEDIUM,466.0,124055.5,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
STRAWBERRY CREAM FRAPP LARGE,104.0,30036.01,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
VANILLA FRAP SMALL,42.0,9406.91,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
VANILLA FRAPP MEDIUM,65.0,16919.16,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
VANILLA FRAPP LARGE,16.0,4652.79,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
HAZELNUT FRAPP SMALL,20.0,4406.01,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
HAZELNUT FRAPP MEDIUM,19.0,4720.72,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
HAZELNUT FRAPP LARGE,10.0,2852.25,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
TOFFEENUT FRAP SMALL,9.0,720.72,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
TOFFEENUT FRAP MEDIUM,14.0,3945.23,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
TOFFEENUT CREAM  FRAP SMALL,13.0,2741.44,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
TOFFEENUT CREAM  FRAP MEDIUM,14.0,3968.29,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
TOFFEENUT CREAM  FRAP LARGE,2.0,666.67,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
TOFFEENUT FRAP LARGE,3.0,933.93,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
SALTED CARAMEL FRAPPE SMALL,21.0,4804.8,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
SALTED CARAMEL CREAM FRAPPE SMALL,12.0,2882.88,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
SALTED CARAMEL CREAM FRAPPE MEDIUM,22.0,5945.95,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
SALTED CARAMEL CREAM FRAPPE LARGE,4.0,1201.2,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
SALTED CARAMEL FRAPPE MEDIUM,34.0,9189.19,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
SALTED CARAMEL FRAPPE LARGE,10.0,3063.06,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
STRAWBERRY SHAKE,5.0,1651.65,BLENDED BRINKS,HOT BAR SECTION,Stories Khaldeh
ICED PEACH TEA  SMALL,427.0,60967.27,ICE TEA,HOT BAR SECTION,Stories Khaldeh
ICED PEACH TEA  MEDIUM,444.0,108463.66,ICE TEA,HOT BAR SECTION,Stories Khaldeh
ICED LEMON TEA  MEDIUM,1.0,266.67,ICE TEA,HOT BAR SECTION,Stories Khaldeh
ICED PEACH TEA LARGE,176.0,48218.92,ICE TEA,HOT BAR SECTION,Stories Khaldeh
ADD CARAMEL SMALL,1180.0,30422.82,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD VANILLA SMALL,2080.0,51388.65,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD HAZELNUT SMALL,520.0,10365.17,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD CARAMEL MEDIUM,1359.0,42890.0,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD VANILLA MEDIUM,1880.0,59332.59,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD HAZELNUT MEDIUM,259.0,8212.07,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD SHOT,4489.0,92107.2,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD WHIPPED CREAM,323.0,10397.27,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD MOCHA SMALL,52.0,690.12,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD WHITE MOCHA SMALL,996.0,12236.64,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD CARAMEL DRIZZLE,164.0,5190.81,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD CHOCOLATE DRIZZLE,44.0,1391.32,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD CARAMEL LARGE,280.0,8927.06,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD VANILLA LARGE,702.0,21875.59,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD HAZELNUT LARGE,50.0,1582.01,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD CARAMEL SF MEDIUM,907.0,28673.46,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD CARAMEL SF LARGE,160.0,5103.18,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD VANILLA SF SMALL,2106.0,63629.73,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD VANILLA SF MEDIUM,2698.0,85197.96,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD VANILLA SF LARGE,665.0,21206.28,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD CARAMEL SF SMALL,696.0,19154.24,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD YIRGACHEFFE SHOT,25.0,816.82,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
REPLACE 1 SHOT YIRGACHEFFE,289.0,18625.83,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
REPLACE 2 SHOT YIRGACHEFFE,582.0,37036.04,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
REPLACE 3 SHOT YIRGACHEFFE,61.0,3815.62,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
NO WHIPPED CREAM,1.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD WHITE MOCHA MEDIUM,613.0,19219.22,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD WHITE MOCHA LARGE,162.0,5226.46,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
1 SHOT DECAFE,1160.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
2 SHOT DECAFE,1905.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
3 SHOT DECAFE,405.0,0.0,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD MOCHA LARGE,5.0,163.06,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD MOCHA MEDIUM,31.0,986.79,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
STRAWBERRY DRIZZLE TOPPING,38.0,1203.9,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD TOFFEE NUT SMALL,55.0,460.36,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD TOFFEE NUT MEDIUM,9.0,270.27,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD BANANA SAUCE SMALL,18.0,600.0,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD BANANA SAUCE MEDIUM,8.0,266.67,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD RASPBERRY SAUCE SMALL,10.0,333.33,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD RASPBERRY SAUCE MEDIUM,7.0,233.33,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
ADD RASPBERRY SAUCE LARGE,1.0,66.67,ADD SYRUP,HOT BAR SECTION,Stories Khaldeh
REPLACE ALMOND SMALL,1377.5,126962.34,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE ALMOND MEDIUM,1431.0,167630.27,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE COCONUT SMALL,781.5,70336.76,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE COCONUT MEDIUM,896.0,85368.62,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SKIMMED MILK SMALL,3527.0,0.0,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SKIMMED MILK MEDIUM,3661.0,0.0,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE LACTOSE FREE SMALL,1542.0,0.0,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE LACTOSE FREE MEDIUM,1689.0,0.0,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE OAT MEDIUM,723.0,92023.3,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE OAT SMALL,694.0,66260.45,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE SOYA SMALL,56.0,5073.87,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE SOYA MEDIUM,51.0,6164.56,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE ALMOND SMALL,190.0,18493.69,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE ALMOND MEDIUM,203.0,26326.73,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE ALMOND LARGE,271.0,40083.15,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE COCONUT LARGE,174.0,17361.05,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE LACTOSE FREE LARGE,268.0,0.0,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SKIMMED MILK LARGE,556.0,0.0,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE ALMOND LARGE,30.0,4851.35,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE OAT LARGE,138.0,22045.2,REPLACE,HOT BAR SECTION,Stories Khaldeh
REPLACE SUGAR FREE SOYA LARGE,15.0,2342.34,REPLACE,HOT BAR SECTION,Stories Khaldeh
ADD FULL FAT MILK,218.0,0.0,REPLACE,HOT BAR SECTION,Stories Khaldeh
ADD SKIMMED MILK,101.0,0.0,REPLACE,HOT BAR SECTION,Stories Khaldeh
WATER,44592.0,1687405.39,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
ORANGE JUICE,1456.0,243890.54,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
LEMON JUICE,445.0,74587.09,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
MAWARDI JUICE,415.0,69509.01,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
APPLE JUICE,4.0,666.67,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
POMEGRANATE JUICE,150.0,25019.67,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
SAN BENEDETTO CLEMENTINE 330ML/24,1333.0,223235.73,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
SAN BENEDETTO GLASS 250ML/24,772.0,104571.77,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
SAN BENEDETTO LEMON 330ML/24,1191.0,199421.92,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
RIM SPARKLING WATER-250 ML,2427.0,156244.51,SOFT DRINKS,COLD BAR SECTION,Stories Khaldeh
DOUBLE CHOCOLATE MUFFIN,727.0,145114.66,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
ORANGE CAKE,491.0,140681.08,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
RED VELVET CAKE,299.0,89821.92,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
BROWNIES CAKE,118.0,19650.15,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
LAZY CAKE,1077.0,340798.14,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
BLUEBERRY CHEESE CAKE,196.0,71270.27,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
FRAMBOISE CHEESE CAKE,199.0,71966.97,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
LOTUS CHEESE CAKE,238.0,86351.65,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
CHOCOLATE MUFFIN,17.0,3201.8,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
CARROT CAKE,242.0,67891.89,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
VANILLA MUFFIN,338.0,64792.79,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
BLUEBERRY MUFFIN,323.0,64469.43,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
APRICOT SABLE,481.0,113856.16,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
CHOCOLATE SABLE,784.0,185881.68,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
RED VELVET MUFFIN_,27.0,5369.37,COFFEE PASTRY,GRAB&GO BEVERAGES,Stories Khaldeh
CHEESE CROISSANT,2179.0,447609.37,CROISSANT,COFFEE PASTRY,Stories Khaldeh
THYME CROISSANT,987.0,187789.37,CROISSANT,COFFEE PASTRY,Stories Khaldeh
PLAIN CROISSANT,590.0,112180.18,CROISSANT,COFFEE PASTRY,Stories Khaldeh
CHOCOLATE CROISSANT,1451.0,298792.31,CROISSANT,COFFEE PASTRY,Stories Khaldeh
OLIVE CROISSANT,362.0,74921.92,CROISSANT,COFFEE PASTRY,Stories Khaldeh
ALMOND CROISSANT,467.0,98933.33,CROISSANT,COFFEE PASTRY,Stories Khaldeh
NY STYLE COOKIE - CHOCOLATE CHIP WALNUT,873.0,277147.15,COOKIES,CROISSANT,Stories Khaldeh
NY STYLE COOKIE - DOUBLE CHOCOLATE,254.0,78507.51,COOKIES,CROISSANT,Stories Khaldeh
GINGERBREAD COOKIES,1.0,300.3,COOKIES,CROISSANT,Stories Khaldeh
FONDANT AU CHOCOLAT,709.0,246923.42,FRENCH PASTRY,COOKIES,Stories Khaldeh
ECLAIR ORIGINAL,437.0,110694.51,FRENCH PASTRY,COOKIES,Stories Khaldeh
ECLAIR CHOCOLAT,523.0,132544.05,FRENCH PASTRY,COOKIES,Stories Khaldeh
TARTE AU CHOCOLAT,28.0,6533.33,FRENCH PASTRY,COOKIES,Stories Khaldeh
CHRISTMAS ORIGINAL ECLAIR,231.0,58670.27,FRENCH PASTRY,COOKIES,Stories Khaldeh
ECLAIR CARAMEL,4.0,970.27,FRENCH PASTRY,COOKIES,Stories Khaldeh
MACARONS,883.0,237275.68,FRENCH PASTRY,COOKIES,Stories Khaldeh
CHOCOLATE SALTED CAKE,168.0,54888.89,FRENCH PASTRY,COOKIES,Stories Khaldeh
ECLAIR COFFEE,20.0,5432.43,FRENCH PASTRY,COOKIES,Stories Khaldeh
CHRISTMAS PISTACHIO ECLAIR,14.0,5045.05,FRENCH PASTRY,COOKIES,Stories Khaldeh
GUMMY BEARS COMBO,6494.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
GRANOLLA COMBO,5324.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
WAFER ROLL COMBO,4679.5,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
MARSHMALLOW COMBO,8177.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
BROWNIES COMBO,1611.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
LOTUS BISCUIT COMBO,6355.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE CHIPS COMBO,5110.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
OREO COMBO,6489.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
SPRINKLES COMBO,3248.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
MIXED NUTS COMBO,3112.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
OATS COMBO,425.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
STRAWBERRY COMBO,18628.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
PINEAPPLE COMBO,6852.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
MANGO COMBO,10570.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
HONEY COMBO,142.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
BLUEBERRIES COMBO,13356.0,0.0,COMBO TOPPINGS,FRENCH PASTRY,Stories Khaldeh
GRANOLLA,87.0,5621.14,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
WAFER ROLL,60.0,3908.23,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
MARSHMALLOW,268.0,17192.67,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
BROWNIES,13.0,873.45,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
LOTUS BISCUITS,119.0,7689.01,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
OREO,133.0,8463.9,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
SPRINKLES,65.0,4262.1,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
OATS,15.0,967.03,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE CHIPS,146.0,10254.77,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
MIXED NUTS,168.0,10702.76,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
GUMMY BEARS,162.0,10427.99,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
STRAWBERRY,857.0,59845.05,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
PINEAPPLE,564.0,36666.25,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
MANGO,602.0,41991.53,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
HONEY,457.0,31796.4,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
BLUEBERRIES,610.0,42402.16,TOPPINGS,FRENCH PASTRY,Stories Khaldeh
PISTACHIO CRUNCH,1729.0,175059.43,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE QUELLA CRUNCH,50.0,5067.27,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE CRUNCH,1541.0,156762.97,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
VARIEGATO WAFER,149.0,14900.0,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE QUELLA,2176.0,219788.47,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
QUELLA PISTACCIO,39.0,3912.61,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
CRUMBOLE RED BERRIES,7.0,702.1,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
CRUMBOLE PISTACHIO,1.0,100.0,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
ARABESCHI COCCO SNAK,29.0,2612.61,LUXURY TOPPINGS,FRENCH PASTRY,Stories Khaldeh
ORIGINAL YOGHURT SMALL,225.0,67446.31,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
ORIGINAL YOGHURT MEDIUM,71.0,23776.28,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
ORIGINAL YOGHURT X-LARGE,70.5,31907.21,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
ORIGINAL YOGHURT COMBO SMALL,6923.4,2312416.82,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
ORIGINAL YOGHURT COMBO MEDIUM,1467.5,578496.22,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
ORIGINAL YOGHURT COMBO X-LARGE,135.0,70986.34,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE YOGHURT SMALL,101.5,30073.51,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE YOGHURT MEDIUM,26.5,8890.69,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE YOGHURT X-LARGE,6.5,2960.36,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE YOGHURT COMBO SMALL,4131.2,1351618.92,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE YOGHURT COMBO MEDIUM,980.5,385799.19,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
CHOCOLATE YOGHURT COMBO X-LARGE,61.0,31865.5,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
OREO CREAM YOGHURT SMALL,10.5,2983.33,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
OREO CREAM YOGHURT COMBO SMALL,836.5,268513.66,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
OREO CREAM YOGHURT MEDIUM,6.5,2166.67,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
OREO CREAM YOGHURT COMBO MEDIUM,186.5,72561.86,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
OREO CREAM YOGHURT COMBO X-LARGE,15.5,8066.67,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
MANGO YOGHURT SMALL,100.0,29958.17,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
MANGO YOGHURT COMBO SMALL,4601.9,1515371.32,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
MANGO YOGHURT MEDIUM,26.5,8968.77,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
MANGO YOGHURT COMBO MEDIUM,1178.0,464337.24,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
MANGO YOGHURT X-LARGE,6.5,2919.37,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
MANGO YOGHURT COMBO X-LARGE,125.5,66045.8,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
PISTACHIO YOGHURT SMALL,3.0,860.42,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
PISTACHIO YOGHURT COMBO SMALL,42.5,15642.79,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
PISTACHIO YOGHURT MEDIUM,1.0,495.5,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
PISTACHIO YOGHURT COMBO MEDIUM,10.0,5005.26,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
PISTACHIO YOGHURT COMBO X-LARGE,1.5,950.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
LOTUS YOGHURT SMALL,25.0,7422.37,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
LOTUS YOGHURT MEDIUM,5.5,1818.32,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
LOTUS YOGHURT X-LARGE,0.5,233.33,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
LOTUS YOGHURT COMBO SMALL,1738.0,528786.49,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
LOTUS YOGHURT COMBO MEDIUM,404.0,157899.4,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
LOTUS YOGHURT COMBO X-LARGE,37.5,19252.4,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
POMEGRANATE YOGHURT SMALL,20.5,6060.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
POMEGRANATE YOGHURT COMBO SMALL,1101.0,346775.38,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
POMEGRANATE YOGHURT COMBO MEDIUM,218.5,85703.33,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
POMEGRANATE YOGHURT MEDIUM,4.0,1300.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
POMEGRANATE YOGHURT X-LARGE,1.5,650.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
POMEGRANATE YOGHURT COMBO X-LARGE,14.0,7436.67,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
TASTING CUP MANGO,4954.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
TASTING CUP CHOCOLATE,5573.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
TASTING CUP OREO,2637.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
TASTING CUP POMEGRANATE,3391.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
TASTING CUP SPECULOSE LOTUS,2274.0,0.0,FROZEN YOGHURT,FRENCH PASTRY,Stories Khaldeh
